,age,sqm_living,sqm_lot,distance_seattle,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,bed_2,bed_3,bed_4,bed_5,bed_6,bed_7,bathrooms_1.0,bathrooms_2.0,bathrooms_3.0,bathrooms_4.0,bathrooms_5.0,bathrooms_6.0,condition_2,condition_3,condition_4,condition_5,price
0,0.5172413793103449,0.08186528497409326,0.0031075107869392464,0.21990348245728447,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.309982108920686
1,0.5517241379310345,0.22590673575129533,0.004071868910293493,0.5297639233076823,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.195613839143922
2,0.7155172413793104,0.039378238341968914,0.005742534553642117,0.541593843745924,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.100712129872347
3,0.43103448275862066,0.16269430051813472,0.002713771603408933,0.2968175296726229,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,13.311329476916953
4,0.25,0.13367875647668395,0.0045794895807525745,0.39356984478935697,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.142166004700508
5,0.12068965517241378,0.5212435233160622,0.06142937015662945,0.461353854180253,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,14.0225247273486
6,0.1724137931034483,0.1373056994818653,0.003815635564703765,0.14840224338072255,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.458774999085929
7,0.4568965517241379,0.0694300518134715,0.005567472055118639,0.13237250554323723,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.583995250631936
8,0.48275862068965514,0.1440414507772021,0.004209980500824126,0.25402373809834355,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.343658308482738
9,0.11206896551724138,0.15544041450777202,0.0036587456438816864,0.1600626059736533,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.685407602204794
10,0.4396551724137931,0.3284974093264249,0.005618961025272603,0.3450371722968566,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.403775836842515
11,0.6293103448275862,0.07979274611398965,0.00331952419345557,0.4802269466544933,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13.056223574899784
12,0.7586206896551724,0.1077720207253886,0.01174009094769387,0.567262292943785,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12.644327576461329
13,0.3275862068965517,0.10155440414507771,0.005548693724827193,0.388065736272336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.89921982609012
14,1.0,0.14715025906735751,0.0026229087149019373,0.48263988522238166,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,13.180632285528304
15,0.3189655172413793,0.26528497409326424,0.002713771603408933,0.34658927872701184,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,13.38472764187182
16,0.1810344827586207,0.15544041450777202,0.008189775017430533,0.5733533324638059,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.886641043883259
17,0.853448275862069,0.12538860103626945,0.002289744790376287,0.4576496674057649,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,13.091904169919621
18,0.8103448275862069,0.0839378238341969,0.005651671665135122,0.0778270509977827,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12.14950229404178
19,0.4051724137931034,0.08911917098445596,0.005605634468291577,0.11391678622668579,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12.345834587905333
20,0.5862068965517241,0.12746113989637306,0.0027016565516080004,0.5092735098473978,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12.86099861326992
21,0.4051724137931034,0.2756476683937824,0.026863310110798202,0.24392852484674576,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14.508657738524219
22,0.1724137931034483,0.19481865284974095,0.003501249970469561,0.057154036781009526,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,12.560244459250788
23,0.25862068965517243,0.07046632124352331,0.005526280878995467,0.03041606886657102,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.439958293376286
24,0.25862068965517243,0.2134715025906736,0.003622400488478888,0.025407590974305467,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.70381302974751
25,0.6379310344827586,0.13678756476683937,0.002530228568624802,0.0853006391026477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.358793732547838
26,0.8620689655172413,0.2134715025906736,0.0013150888729912486,0.4277292291639494,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.750438561220559
27,0.9137931034482758,0.10466321243523316,0.0006427034980394817,0.3899960871266467,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13.410545324897761
28,0.5775862068965517,0.11709844559585492,0.0035497101776732916,0.4897482718142689,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.989974189358584
29,0.09482758620689655,0.22590673575129533,0.004030071981580275,0.5030781270379548,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,13.485616636703183
30,0.10344827586206896,0.2,0.002095903961561363,0.28059214816747097,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.271645080120082
31,0.08620689655172414,0.08290155440414507,0.0004512856795847445,0.5483370288248337,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.542544882151386
32,0.7413793103448276,0.20103626943005182,0.002713771603408933,0.4896830572583801,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,13.440817108522863
33,0.7413793103448276,0.07253886010362695,0.0015022664233156596,0.5010434328942219,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,13.190022025878143
34,0.29310344827586204,0.17305699481865286,0.0037187151502963032,0.09797834876744489,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12.683858415217964
35,0.7327586206896551,0.19792746113989637,0.0015386115787184578,0.47369244815442807,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.453104939316557
37,0.9568965517241379,0.20414507772020726,0.00331952419345557,0.4711882092082953,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,13.369223455335854
38,0.4051724137931034,0.08601036269430054,0.0045764608178023415,0.092409025694535,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,12.388394202324129
39,0.16379310344827586,0.23108808290155441,0.004260257965797997,0.23953306377983563,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,13.312983737012978
40,0.12931034482758622,0.22590673575129533,0.003028762950233184,0.3974957610538672,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,13.345506928718539
41,0.2672413793103448,0.39689119170984455,0.01433574079604371,0.187426633624625,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,13.560618308335483
42,0.008620689655172414,0.33212435233160625,0.0031008475084487335,0.49574801095604537,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,13.666998948650464
43,0.8017241379310345,0.122279792746114,0.001066124558482081,0.4328420503456371,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13.437174117244362
44,0.48275862068965514,0.0922279792746114,0.005534155662666075,0.12240772140341723,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12.641096555879882
45,0.10344827586206896,0.2870466321243524,0.00792506113558015,0.5899960871266466,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.098070684835283
46,0.43103448275862066,0.0621761658031088,0.004850866741093468,0.18875701056475802,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.257193425037888
47,0.29310344827586204,0.19689119170984457,0.007811785401241428,0.37114908047476197,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,13.573438996764546
48,0.5431034482758621,0.08911917098445596,0.0032971113476238443,0.4673144645884961,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13.017002861746503
49,0.5431034482758621,0.24487046632124354,0.03906195576915738,0.2554845441502543,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14.115615150414612
50,0.5172413793103449,0.08290155440414507,0.005257326729014761,0.15099778270509975,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.337100907936577
51,0.43103448275862066,0.2860103626943005,0.00521795281066173,0.18593974175035866,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,12.751299696013497
52,0.5603448275862069,0.105699481865285,0.002156479220566027,0.4932829007434459,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13.304684934198283
53,0.3017241379310345,0.16476683937823833,0.004864193298074494,0.5126646667536194,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13.279367126213993
54,0.7672413793103449,0.24248704663212434,0.00331952419345557,0.4313290726490152,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,13.732128949025222
55,0.1724137931034483,0.25284974093264245,0.002713771603408933,0.4368070953436807,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,13.693342923990066
56,0.06034482758620689,0.1927461139896373,0.002407866545435381,0.07823138124429371,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,12.58621994565405
57,0.11206896551724138,0.21036269430051813,0.0025623334558972735,0.07036650580409547,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.614865543731012
58,0.4051724137931034,0.2963730569948187,0.008372712299624614,0.3323333768097039,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,13.765269341527528
